CONCEICAO ARAGUA;SBAA;82861;8;21S;49;18W;199;X;;7;BR
AFONSOS ARPT (MI;SBAF;83748;22;52S;43;22W;34;X;T;6;BR
AMAPA AIRPORT;SBAM;82030;2;04N;50;51W;10;X;;7;BR
ANAPOLIS (BRAZ-A;SBAN;83419;16;13S;48;58W;1137;X;;7;BR
ASSIS;SBAS;;22;38S;50;27W;564;X;;8;BR
ARARAQUARA;SBAQ;;21;48S;48;08W;708;X;;8;BR
ARACAJU/SANTA MA;SBAR;83095;10;58S;37;04W;9;X;T;6;BR
ALTA FLORESTA;SBAT;82965;9;52S;56;06W;288;X;T;6;BR
ARACATUBA;SBAU;;21;08S;50;26W;415;X;;8;BR
ARAXA;SBAX;;19;34S;46;58W;998;X;;8;BR
BOCADOACRE;SBBA;82816;8;43S;67;19W;112;X;;7;BR
BENJAMIN CONSTAN;SBBC;82410;4;22S;70;01W;65;X;;7;BR
BELEM/VAL DE CAE;SBBE;82193;1;22S;48;28W;16;X;T;6;BR
BAGE/CMDT KRAEME;SBBG;83981;31;23S;54;07W;180;X;T;6;BR
BELO HORIZ/PAMPU;SBBH;83583;19;51S;43;57W;785;X;T;6;BR
CURITIBA/BACACHE;SBBI;83842;25;24S;49;14W;923;X;;7;BR
BARBACENA (CIV/M;SBBQ;83689;21;15S;43;46W;1171;X;;7;BR
BRASILIA (CIV/MI;SBBR;83378;15;52S;47;55W;1061;X;T;6;BR
CHAFEI AMSEI;SBBT;;20;35S;48;36W;579;X;;8;BR
BAURU;SBBU;83722;22;19S;49;04W;590;X;T;6;BR
BOA VISTA (CIV/M;SBBV;82022;2;51N;60;42W;140;X;T  X;5;BR
BERRA DO GARCAS;SBBW;83359;15;52S;52;22W;350;X;T;6;BR
BUZIOS/MODIANO;SBBZ;;22;45S;41;57W;3;X;;8;BR
CASCAVEL;SBCA;;25;00S;53;30W;754;X;;8;BR
CABO FRIO;SBCB;;22;55S;42;05W;4;X;T;8;BR
CACHIMBO;SBCC;;9;19S;54;57W;536;X;;7;BR
CACADOR;SBCD;;26;47S;50;56W;1029;X;;7;BR
BELO HORIZ/TANCR;SBCF;83587;19;38S;43;58W;828;X;T;6;BR
CAMPO GRANDE INT;SBCG;83612;20;28S;54;40W;567;X;T;6;BR
CHAPECO;SBCH;;27;08S;52;40W;650;X;;8;BR
CAROLINA AIRPORT;SBCI;82764;7;19S;47;28W;183;X;T;6;BR
CARAJAS/MARABA;SBCJ;;6;07S;50;00W;621;X;T;6;BR
FORQUILHINHA;SBCM;;28;43S;49;25W;28;X;;8;BR
PORTO ALEGRE/CAN;SBCO;83967;29;57S;51;09W;47;X;T;6;BR
CAMPOS/BARTOLOME;SBCP;83698;21;42S;41;18W;11;X;T;7;BR
CORUMBA INTL ARP;SBCR;83552;19;00S;57;40W;141;X;T;6;BR
CURITIBA/AFONSO;SBCT;83840;25;31S;49;10W;908;X;T;6;BR
CARAVELAS AIRPOR;SBCV;83497;17;37S;39;15W;4;X;T;6;BR
CAXIAS DO SUL;SBCX;;29;12S;51;11W;754;X;;8;BR
CUIABA/MARECHAL;SBCY;83362;15;39S;56;07W;182;X;T;6;BR
CRUZEIRO DO SUL;SBCZ;82705;7;37S;72;46W;170;X;T  X;5;BR
PRESIDENTE PRUDE;SBDN;83716;22;11S;51;26W;435;X;T;6;BR
PIRANA P15 OIL;SBEC;;22;40S;40;36W;10;X;;8;BR
EDUARDO GOMES IN;SBEG;82111;3;01S;60;02W;2;X;T;6;BR
JACAREACANGA;SBEK;82640;6;14S;57;47W;98;X;;7;BR
EIRUNEPE;SBER;82610;6;40S;69;52W;104;X;;7;BR
SAO PEDRO DA ALD;SBES;83759;22;49S;42;06W;11;X;;7;BR
FOZ DO IGUACU AR;SBFI;83827;25;36S;54;29W;243;X;T;6;BR
FLORIANOPOLIS AR;SBFL;83899;27;40S;48;32W;5;X;T;6;BR
FERNANDO DE NORO;SBFN;82400;3;51S;32;25W;56;X;T;6;BR
CMP D GOITACAZES;SBFS;;22;01S;41;04W;3;X;;8;BR
FRONTEIRA;SBFT;;20;17S;49;11W;487;X;;8;BR
FURNAS (PRIVATE);SBFU;;20;41S;46;19W;735;X;;7;BR
FORTALEZA/PINTO;SBFZ;82398;3;46S;38;31W;25;X;T;6;BR
GAMA;SBGA;83375;16;03S;48;02W;700;X;;7;BR
GALEAO/RIO(CIV/M;SBGL;83746;22;49S;43;15W;6;X;T;6;BR
GUAJARA MIRIM;SBGM;83016;10;47S;65;17W;146;X;;8;BR
GOIANIA/SANTA GE;SBGO;83424;16;37S;49;13W;747;X;T;7;BR
GAVIAO PEIXOTO;SBGP;;21;46S;48;24W;609;X;;9;BR
GUARULHOS (CIV/M;SBGR;;23;25S;46;28W;750;X;T;6;BR
GUARAPUAVA;SBGU;;25;23S;51;31W;1065;X;;8;BR
GOV VALADARES;SBGV;;18;53S;41;59W;171;X;;8;BR
GUARATINGUETA (M;SBGW;83708;22;46S;45;12W;533;X;T;6;BR
ALTAMIRA;SBHT;82353;3;15S;52;16W;74;X;;7;BR
ITACOATIARA;SBIC;82335;3;07S;58;28W;43;X;;8;BR
ITAITUBA;SBIH;82444;4;15S;56;00W;34;X;;7;BR
ILHEUS AIRPORT;SBIL;83349;14;48S;39;01W;5;X;;7;BR
USIMINAS/PARAISO;SBIP;;19;28S;42;29W;239;X;;8;BR
ITUMBIARA;SBIT;;18;26S;49;12W;497;X;;7;BR
IMPERATRIZE;SBIZ;82564;5;31S;47;27W;123;X;T;6;BR
JUIZ FORA/FRANCI;SBJF;83692;21;46S;43;23W;939;X;;7;BR
JOAO PESSOA/PRES;SBJP;82798;7;09S;34;57W;7;X;T;6;BR
RIO/JACAREPAGUA;SBJR;83111;22;58S;43;22W;3;X;T;6;BR
JUAZEIRO D NORTE;SBJU;;7;13S;39;16W;409;X;;7;BR
JOINVILLE;SBJV;83905;26;13S;48;48W;4;X;;7;BR
CAMPINA GRANDE;SBKG;82795;7;16S;35;52W;560;X;;7;BR
CAMPINAS/VIRACOP;SBKP;83721;23;00S;47;07W;661;X;T;6;BR
ALBACORA P25 OIL;SBLB;;22;06S;39;55W;10;X;;8;BR
LENCOIS CHAPADA;SBLE;;12;29S;41;17W;511;X;;7;BR
LAGES;SBLJ;;27;47S;50;17W;934;X;;8;BR
LINS;SBLN;83674;21;40S;49;45W;426;X;;7;BR
LONDRINA AIRPORT;SBLO;83768;23;19S;51;07W;570;X;T;7;BR
BOM JESUS DA LAP;SBLP;83288;13;16S;43;25W;440;X;T;6;BR
LAGOA SANTA(CV/M;SBLS;83588;19;40S;43;53W;852;X;;7;BR
MARABA;SBMA;82562;5;22S;49;08W;102;X;T;6;BR
MINACU;SBMC;;13;33S;48;12W;440;X;;8;BR
MONTE DOURADO;SBMD;82091;0;52S;52;36W;206;X;;7;BR
MACAE;SBME;;22;21S;41;46W;2;X;;7;BR
MARINGA;SBMG;83767;23;29S;52;01W;542;X;;7;BR
MONTES CLAROS;SBMK;83437;16;42S;43;49W;646;X;;7;BR
MARILIA;SBML;;22;11S;49;55W;647;X;;7;BR
MARLIM P20 OIL;SBMM;;22;21S;40;05W;10;X;;8;BR
MANAUS/PONTA PEL;SBMN;82332;3;08S;59;58W;84;X;T;6;BR
MACEIO/CAMPO PAL;SBMO;82993;9;31S;35;46W;115;X;T;6;BR
MACAPA INTL AIRP;SBMQ;82098;0;03N;51;04W;15;X;T;6;BR
MOSSORO;SBMS;82591;5;12S;37;22W;18;X;;7;BR
MARTE (CIV/MIL);SBMT;83779;23;31S;46;37W;722;X;T;7;BR
MANICORE;SBMY;82533;5;49S;61;17W;49;X;;7;BR
PORTO DE MOZ;SBMZ;82184;1;44S;52;15W;17;X;;7;BR
NAVEGANTES;SBNF;83926;26;53S;48;39W;5;X;T;7;BR
SANTO ANGELO ARP;SBNM;;28;16S;54;10W;322;X;;7;BR
NATAL/AUGUSTO SE;SBNT;82599;5;55S;35;15W;49;X;T;6;BR
OIAPOQUE;SBOI;82017;3;51N;51;49W;39;X;T;7;BR
PORTO ALEGRE/SAL;SBPA;83971;30;00S;51;10W;3;X;T;6;BR
PARNAIBA AIRPORT;SBPB;82288;2;55S;41;45W;5;X;T;7;BR
POCOS DE CALDAS;SBPC;83681;21;51S;46;34W;1260;X;;7;BR
PASSO FUNDO/LAUR;SBPF;83914;28;15S;52;20W;684;X;;7;BR
PARANAGUA;SBPG;83844;25;31S;48;31W;4;X;;7;BR
PALMAS;SBPJ;83065;10;17S;48;22W;236;X;;7;BR
PELOTAS;SBPK;83985;31;43S;52;20W;13;X;T;6;BR
PETROLINA AIRPOR;SBPL;82984;9;22S;40;34W;375;X;T;6;BR
PORTO NACIONAL A;SBPN;83063;10;43S;48;23W;265;X;;7;BR
PONTA PORA INTL;SBPP;83703;22;33S;55;42W;660;X;T;6;BR
BELO HORIZONTE;SBPR;83571;19;54S;43;59W;927;X;;7;BR
PORTO SEGURO;SBPS;83460;16;26S;39;04W;51;X;T;7;BR
PORTO VELHO(CV/M;SBPV;82824;8;43S;63;54W;88;X;T;6;BR
VITORIA DA CONQU;SBQV;83344;14;52S;40;52W;893;X;;7;BR
RIO BRANCO/MEDIC;SBRB;82917;10;00S;67;47W;143;X;T  X;5;BR
RECIFE/GUARARAPE;SBRF;82899;8;08S;34;55W;19;X;T;6;BR
RIO GRANDE;SBRG;83995;32;01S;52;05W;8;X;;8;BR
SANTOS DUMONT/RI;SBRJ;83755;22;53S;43;10W;3;X;T;6;BR
LEITE LOPES/RIBE;SBRP;;21;07S;47;46W;549;X;T;6;BR
SAO ROQUE/S. PAU;SBRQ;83058;23;31S;47;07W;750;X;;7;BR
RESENDE;SBRS;83738;22;28S;44;28W;439;X;;7;BR
SAO CARLOS(PRIVA;SBSA;83726;22;01S;47;52W;856;X;;7;BR
SANTA CRUZ (MIL);SBSC;83741;22;55S;43;43W;3;X;;7;BR
SAO JOSE DOS CAM;SBSJ;;23;13S;45;52W;646;X;T;6;BR
SAO LUIS/MARECHA;SBSL;82280;2;36S;44;13W;53;X;T  X;5;BR
SANTA MARIA(CV/M;SBSM;83937;29;43S;53;42W;85;X;;7;BR
SANTAREM INTL AR;SBSN;82244;2;25S;54;47W;72;X;T;6;BR
SAO PAULO/CONGON;SBSP;83780;23;37S;46;38W;803;X;T;6;BR
SAO JOSE PRETO;SBSR;;20;48S;49;24W;543;X;;8;BR
SANTOS (BRAZ-AFB;SBST;83818;23;55S;46;17W;3;X;T;6;BR
SALVADOR/DOIS JU;SBSV;83248;12;54S;38;19W;6;X;T;6;BR
SANTA ISABEL MOR;SBSY;83156;11;34S;50;40W;197;X;;7;BR
TAUBATE (BASE);SBTA;;23;02S;45;30W;586;X;;7;BR
ORIXIMINA;SBTB;;1;29S;56;23W;87;X;;7;BR
UNA HOTEL TRANSA;SBTC;;15;21S;38;59W;6;X;;7;BR
TOLEDO;SBTD;;24;41S;53;42W;565;X;;8;BR
TERESINA AIRPORT;SBTE;82579;5;02S;42;49W;69;X;T;6;BR
TEFE;SBTF;82317;3;22S;64;43W;47;X;T;6;BR
TARAUACA;SBTK;82808;8;10S;70;46W;188;X;;7;BR
TELEMACO BORBA;SBTL;;24;19S;50;39W;796;X;;8;BR
TORRES;SBTR;83948;29;21S;49;44W;1;X;;8;BR
TIRIOS;SBTS;82026;2;13S;55;56W;325;X;;7;BR
TABATINGA INTL A;SBTT;82411;4;15S;69;56W;85;X;T;6;BR
TUCURUI;SBTU;82361;3;47S;49;43W;40;X;T;6;BR
SAO GABRIEL CACH;SBUA;82107;0;09S;66;59W;79;X;;7;BR
PAULO AFONSO;SBUF;82986;9;24S;38;15W;252;X;;7;BR
URUGUAIANA/RUBEM;SBUG;83928;29;46S;57;01W;74;X;T;6;BR
CARAUARI;SBUI;82418;4;57S;66;54W;81;X;;6;BR
UBERLANDIA;SBUL;83525;18;52S;48;13W;922;X;T;6;BR
URUBUPUNGA/CASTI;SBUP;83617;20;48S;51;34W;356;X;;7;BR
UBERABA;SBUR;83576;19;46S;47;58W;807;X;T;6;BR
PORTO URUCU;SBUY;;4;53S;65;21W;72;X;;7;BR
VARGINHA;SBVG;;21;35S;45;28W;923;X;;8;BR
VILHENA;SBVH;83208;12;43S;60;07W;652;X;T;6;BR
VITORIA/GOIABEIR;SBVT;83649;20;16S;40;16W;4;X;T;6;BR
CACHIMBO-IN-PAR;SBXI;82930;9;21S;54;53W;432;X;;7;BR
XAVANTINA;SBXV;83319;14;41S;52;21W;315;X;;7;BR
IAUARETE (PRIVAT;SBYA;82068;0;37N;69;12W;105;X;;7;BR
PIRASSUNUNGA/CAM;SBYS;83671;21;58S;47;19W;598;X;T;6;BR
BARCELOS;SWBC;82113;0;58S;62;55W;40;X;;7;BR
PARINTINS;SWPI;;2;40S;56;47W;27;X;;7;BR
LABREA;;82723;7;15S;64;50W;60;Z;;9;BR
CRUZEIRO DO SUL;;82704;7;37S;72;40W;170;;Z;9;BR
SAO LUIS/MARECHA;;82281;2;36S;44;13W;53;;Z;9;BR
