"Code","Lat","Lon"
"SBAF",-22.8666666666667,-43.3666666666667
"SBLB",-22.1,-39.9166666666667
"SBAT",-9.86666666666667,-56.1
"SBHT",-3.25,-52.2666666666667
"SBAM",2.06666666666667,-50.85
"SBAN",-16.2166666666667,-48.9666666666667
"SBAR",-10.9666666666667,-37.0666666666667
"SBAU",-21.1333333333333,-50.4333333333333
"SBAQ",-21.8,-48.1333333333333
"SBAX",-19.5666666666667,-46.9666666666667
"SBAS",-22.6333333333333,-50.45
"SBBG",-31.3833333333333,-54.1166666666667
"SBBQ",-21.25,-43.7666666666667
"SWBC",-0.966666666666667,-62.9166666666667
"SBBU",-22.3166666666667,-49.0666666666667
"SBBE",-1.36666666666667,-48.4666666666667
"SBBH",-19.85,-43.95
"SBCF",-19.6333333333333,-43.9666666666667
"SBPR",-19.9,-43.9833333333333
"SBBC",-4.36666666666667,-70.0166666666667
"SBBW",-15.8666666666667,-52.3666666666667
"SBBV",2.85,-60.7
"SBBA",-8.71666666666667,-67.3166666666667
"SBLP",-13.2666666666667,-43.4166666666667
"SBBR",-15.8666666666667,-47.9166666666667
"SBBZ",-22.75,-41.95
"SBCB",-22.9166666666667,-42.0833333333333
"SBCD",-26.7833333333333,-50.9333333333333
"SBCC",-9.31666666666667,-54.95
"SBXI",-9.35,-54.8833333333333
"SBKG",-7.26666666666667,-35.8666666666667
"SBKP",-23,-47.1166666666667
"SBCG",-20.4666666666667,-54.6666666666667
"SBCP",-21.7,-41.3
"SBCJ",-6.11666666666667,-50
"SBUI",-4.95,-66.9
"SBCV",-17.6166666666667,-39.25
"SBCI",-7.31666666666667,-47.4666666666667
"SBCA",-25,-53.5
"SBCX",-29.2,-51.1833333333333
"SBBT",-20.5833333333333,-48.6
"SBCH",-27.1333333333333,-52.6666666666667
"SBFS",-22.0166666666667,-41.0666666666667
"SBAA",-8.35,-49.3
"SBCR",-19,-57.6666666666667
"SBCZ",-7.61666666666667,-72.7666666666667
"SBCY",-15.65,-56.1166666666667
"SBCT",-25.5166666666667,-49.1666666666667
"SBBI",-25.4,-49.2333333333333
"SBEG",-3.01666666666667,-60.0333333333333
"SBER",-6.66666666666667,-69.8666666666667
"SBFN",-3.85,-32.4166666666667
"SBFL",-27.6666666666667,-48.5333333333333
"SBCM",-28.7166666666667,-49.4166666666667
"SBFZ",-3.76666666666667,-38.5166666666667
"SBFI",-25.6,-54.4833333333333
"SBFT",-20.2833333333333,-49.1833333333333
"SBFU",-20.6833333333333,-46.3166666666667
"SBGL",-22.8166666666667,-43.25
"SBGA",-16.05,-48.0333333333333
"SBGP",-21.7666666666667,-48.4
"SBGO",-16.6166666666667,-49.2166666666667
"SBGV",-18.8833333333333,-41.9833333333333
"SBGM",-10.7833333333333,-65.2833333333333
"SBGU",-25.3833333333333,-51.5166666666667
"SBGW",-22.7666666666667,-45.2
"SBGR",-23.4166666666667,-46.4666666666667
"SBYA",0.616666666666667,-69.2
"SBIL",-14.8,-39.0166666666667
"SBIZ",-5.51666666666667,-47.45
"SBIC",-3.11666666666667,-58.4666666666667
"SBIH",-4.25,-56
"SBIT",-18.4333333333333,-49.2
"SBEK",-6.23333333333333,-57.7833333333333
"SBJP",-7.15,-34.95
"SBJV",-26.2166666666667,-48.8
"SBJU",-7.21666666666667,-39.2666666666667
"SBJF",-21.7666666666667,-43.3833333333333
"SBLJ",-27.7833333333333,-50.2833333333333
"SBLS",-19.6666666666667,-43.8833333333333
"SBRP",-21.1166666666667,-47.7666666666667
"SBLE",-12.4833333333333,-41.2833333333333
"SBLN",-21.6666666666667,-49.75
"SBLO",-23.3166666666667,-51.1166666666667
"SBME",-22.35,-41.7666666666667
"SBMQ",0.05,-51.0666666666667
"SBMO",-9.51666666666667,-35.7666666666667
"SBMN",-3.13333333333333,-59.9666666666667
"SBMY",-5.81666666666667,-61.2833333333333
"SBMA",-5.36666666666667,-49.1333333333333
"SBML",-22.1833333333333,-49.9166666666667
"SBMG",-23.4833333333333,-52.0166666666667
